"投稿日時","投稿元","場所","被害種別","状況","確度","位置精度","緯度","経度","参照リンク","備考"
"2026-07-18 14:00","桐生市（被害状況）","菱町5丁目・吉田組資材置場付近","冠水・通行止め","市道を通行止め","高","町丁目代表点","36.414","139.354","https://www.city.kiryu.lg.jp/anzen/bousai/1027415.html","桐生市が通行止め箇所として公表。個人宅を避け町丁目の代表点に表示"
"2026-07-18 14:00","桐生市（被害状況）","黒保根町・市道93084号","通行止め","7月21日の公式通行止め一覧から削除","高","地区概略点","36.506","139.281","https://www.city.kiryu.lg.jp/anzen/bousai/1027415.html","解除日時は未公表。現行一覧から削除されたことを確認"
"2026-07-18 14:00","桐生市（被害状況）","黒保根町・市道93001号","通行止め","7月21日の公式通行止め一覧から削除","高","地区概略点","36.522","139.29","https://www.city.kiryu.lg.jp/anzen/bousai/1027415.html","解除日時は未公表。現行一覧から削除されたことを確認"
"2026-07-18 14:00","桐生市（被害状況）","広沢町","浸水・冠水","床上12件・床下7件","高","地区代表点","36.385","139.32","https://www.city.kiryu.lg.jp/anzen/bousai/1027415.html","7月21日16時の地区集計。個別住宅の位置は掲載しない"
"2026-07-18 14:00","桐生市（被害状況）","境野町","浸水","床上浸水1件","高","地区代表点","36.391","139.348","https://www.city.kiryu.lg.jp/anzen/bousai/1027415.html","地区集計。個別住宅の位置は掲載しない"
"2026-07-18 14:00","桐生市（被害状況）","宮前町","浸水","床下浸水1件","高","地区代表点","36.414","139.329","https://www.city.kiryu.lg.jp/anzen/bousai/1027415.html","地区集計。個別住宅の位置は掲載しない"
"2026-07-18 14:00","桐生市（被害状況）","菱町","浸水・土砂災害","床上2件・床下3件。市内全体で土砂崩れ3件、土砂流出34件、法面崩落3件","高","地区代表点","36.422","139.36","https://www.city.kiryu.lg.jp/anzen/bousai/1027415.html","地区別浸水集計と市内全体の道路被害集計。土砂災害の個別地点は未公表"
"2026-07-17 22:44","X（国土交通省 高崎河川国道事務所）","国道50号上り・広沢町3丁目","冠水・車両立ち往生","冠水が発生し、立ち往生車両を確認","高","町丁目・路線概略点","36.384","139.326","https://x.com/mlit_takasaki/status/2078113686699610354","国土交通省公式投稿。桐生市公式の国道50号等の冠水件数とも整合"
"2026-07-17 22:57","X（個人公開投稿）","国道50号・広沢交番前付近","冠水・通行不能","広沢交番前が冠水し通行できないとの現地投稿","中","施設周辺概略点","36.377","139.32","https://x.com/toto_build/status/2078116835061530674","画像付き公開投稿。桐生市公式の国道50号冠水情報と整合"
"2026-07-17 23:21","X（個人公開投稿）","国道50号・広沢町（前橋方面）","冠水・大渋滞","道路冠水による大渋滞との現地投稿","中","地区・路線概略点","36.374","139.323","https://x.com/KR921/status/2078122999535067559","画像付き公開投稿。詳細地点は投稿から特定できないため概略表示"
"2026-07-17 23:22","X（個人公開投稿）","城の岡（菱町1丁目）","土砂流入・通行止め","土砂流入により通行止めとの現地投稿","中","地区代表点","36.403","139.365","https://x.com/meke77_game/status/2078123160407581050","公開投稿。市公式の土砂流出17件・通行止め情報と整合するが、公式の個別地点確認はなし"
"2026-07-17 21:44","X（個人公開投稿）","国道50号・広沢町5丁目付近","冠水","道路が川のように波打つ冠水状況との投稿","中","町丁目・路線概略点","36.368","139.316","https://x.com/tentensha22/status/2078098573733118412","画像付き公開投稿。場所はSNS整理記事の記述と市公式の国道50号冠水情報で照合"
"2026-07-21","桐生市（被害状況）","白葉峠付近の市道","土砂災害・通行止め","市道を通行止め（7月21日16時現在）","高","峠・路線概略点","36.410","139.378","https://www.city.kiryu.lg.jp/anzen/bousai/1027415.html","桐生市公式の現行通行止め一覧。詳細地点は未公表のため峠付近に概略表示"
"2026-07-17","東武鉄道","東武桐生線（新桐生〜相老付近）","土砂流出・運転見合わせ","新桐生〜赤城間は終日運休、太田〜新桐生間は特別ダイヤ（7月24日確認）","高","区間概略点","36.404","139.318","https://www.tobu.co.jp/railway/","東武鉄道公式が土砂流出と特別ダイヤを掲載。土砂流出は広沢町2丁目の新桐生〜相老駅間"
